epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.288,1.43047,1.15361,1.21511,0.87015,0.60443,0.69692,0.33354,1.68824,0.93148,1.21413,0.000554805,0.000554805,0.000554805
2,232.923,1.39605,0.93702,1.22006,0.79791,0.63771,0.69852,0.29805,1.87625,0.90823,1.27678,0.00110949,0.00110949,0.00110949
3,342.672,1.37018,0.90122,1.20998,0.80566,0.62014,0.71371,0.31577,1.80758,0.93853,1.24358,0.00166023,0.00166023,0.00166023
4,452.42,1.35658,0.88019,1.20163,0.79347,0.65862,0.73531,0.37279,1.57053,0.831,1.17815,0.00165371,0.00165371,0.00165371
5,565.033,1.31411,0.82675,1.17855,0.86629,0.66594,0.7414,0.34434,1.72973,0.81813,1.19725,0.00164343,0.00164343,0.00164343
6,680.504,1.30405,0.80557,1.17356,0.89714,0.69602,0.78184,0.38421,1.69671,0.80412,1.19952,0.00163029,0.00163029,0.00163029
7,795.458,1.28281,0.78173,1.15856,0.82687,0.71166,0.78934,0.36644,1.79503,0.83105,1.2202,0.00161432,0.00161432,0.00161432
8,910.348,1.27402,0.76508,1.1552,0.89068,0.6735,0.78245,0.39021,1.63826,0.74344,1.16266,0.00159561,0.00159561,0.00159561
9,1025.99,1.25491,0.74271,1.1448,0.90709,0.70759,0.81232,0.41014,1.56475,0.74149,1.14845,0.00157421,0.00157421,0.00157421
10,1141.76,1.25077,0.73967,1.13884,0.8764,0.7114,0.80328,0.3873,1.71687,0.76534,1.17467,0.00155022,0.00155022,0.00155022
11,1257.33,1.23612,0.72551,1.1304,0.87525,0.72559,0.80946,0.42638,1.55744,0.725,1.14276,0.00152373,0.00152373,0.00152373
12,1372.38,1.22769,0.70942,1.12755,0.87174,0.75486,0.83506,0.43858,1.55985,0.69101,1.14067,0.00149485,0.00149485,0.00149485
13,1487.56,1.21654,0.70112,1.12353,0.88302,0.74155,0.81191,0.41703,1.56148,0.69236,1.13388,0.00146369,0.00146369,0.00146369
14,1602.91,1.20691,0.68753,1.11449,0.89676,0.74102,0.82955,0.4409,1.55121,0.66691,1.12896,0.00143036,0.00143036,0.00143036
15,1718.51,1.20168,0.6789,1.10927,0.8977,0.75116,0.83375,0.44783,1.48635,0.66768,1.12182,0.00139501,0.00139501,0.00139501
16,1833.6,1.19422,0.67761,1.1096,0.85789,0.75657,0.83161,0.44971,1.41051,0.65532,1.10555,0.00135778,0.00135778,0.00135778
17,1948.73,1.18979,0.66295,1.10608,0.89952,0.76195,0.83784,0.44036,1.5432,0.67481,1.12783,0.0013188,0.0013188,0.0013188
18,2063.37,1.17263,0.65463,1.09977,0.91892,0.75117,0.8537,0.47348,1.39699,0.63917,1.10149,0.00127824,0.00127824,0.00127824
19,2178.3,1.16259,0.64135,1.09745,0.86225,0.77369,0.84189,0.46071,1.40669,0.62645,1.09606,0.00123625,0.00123625,0.00123625
20,2293.06,1.15273,0.632,1.09,0.87183,0.78725,0.84876,0.48661,1.29151,0.60482,1.07391,0.001193,0.001193,0.001193
21,2408.62,1.15095,0.62908,1.08893,0.8948,0.78892,0.85159,0.47822,1.33557,0.60487,1.08298,0.00114866,0.00114866,0.00114866
22,2523.81,1.14337,0.6246,1.08992,0.87014,0.7916,0.85162,0.4953,1.2581,0.58769,1.06568,0.0011034,0.0011034,0.0011034
23,2639.58,1.13568,0.61469,1.08219,0.90577,0.77213,0.84755,0.50896,1.19732,0.57121,1.05343,0.00105741,0.00105741,0.00105741
24,2754.71,1.12516,0.6103,1.07864,0.86724,0.77413,0.84254,0.49794,1.27885,0.57408,1.06677,0.00101087,0.00101087,0.00101087
25,2869.98,1.11543,0.59711,1.07315,0.85165,0.79313,0.84786,0.50605,1.21195,0.56881,1.05163,0.000963952,0.000963952,0.000963952
26,2985.21,1.10858,0.59517,1.07126,0.89068,0.78509,0.8528,0.50226,1.20686,0.5653,1.05333,0.00091685,0.00091685,0.00091685
27,3100.14,1.10612,0.58773,1.06703,0.91732,0.77168,0.86424,0.50842,1.22906,0.55383,1.05664,0.000869748,0.000869748,0.000869748
28,3215.28,1.10541,0.5807,1.06738,0.89842,0.79996,0.85758,0.514,1.19669,0.55107,1.04987,0.000822831,0.000822831,0.000822831
29,3330.81,1.08498,0.56973,1.05957,0.91372,0.76236,0.85308,0.51039,1.20285,0.54851,1.05503,0.000776286,0.000776286,0.000776286
30,3446.22,1.07637,0.56245,1.0578,0.89031,0.78581,0.85813,0.5217,1.15723,0.53274,1.04566,0.000730295,0.000730295,0.000730295
31,3560.95,1.07211,0.5671,1.05793,0.90659,0.78325,0.85785,0.52987,1.10208,0.52973,1.03587,0.000685041,0.000685041,0.000685041
32,3676.19,1.06128,0.55115,1.04982,0.9235,0.7757,0.86532,0.53675,1.10122,0.52185,1.035,0.000640701,0.000640701,0.000640701
33,3791.67,1.0514,0.54687,1.04615,0.88531,0.78782,0.8637,0.53819,1.0933,0.51669,1.03545,0.000597452,0.000597452,0.000597452
34,3906.69,1.04008,0.5379,1.03967,0.89733,0.80302,0.86601,0.53219,1.10991,0.51653,1.03602,0.000555462,0.000555462,0.000555462
